03;Guyane;973;44130
75;Nouvelle-Aquitaine;33;44040
11;Île-de-France;93;43693
84;Auvergne-Rhône-Alpes;69;43546
84;Auvergne-Rhône-Alpes;01;43454
76;Occitanie;81;42923
11;Île-de-France;95;42821
11;Île-de-France;93;42712
93;Provence-Alpes-Côte d'Azur;05;42567
32;Hauts-de-France;62;42293
93;Provence-Alpes-Côte d'Azur;06;42056
32;Hauts-de-France;62;41973
76;Occitanie;65;41862
52;Pays de la Loire;44;41808
11;Île-de-France;78;41749
32;Hauts-de-France;60;41660
84;Auvergne-Rhône-Alpes;69;41589
32;Hauts-de-France;59;41570
44;Grand Est;57;41396
11;Île-de-France;77;41183
76;Occitanie;30;41129
93;Provence-Alpes-Côte d'Azur;83;40928
02;Martinique;972;40920
32;Hauts-de-France;59;40860
24;Centre-Val de Loire;28;40195
75;Nouvelle-Aquitaine;64;39995
11;Île-de-France;92;39977
84;Auvergne-Rhône-Alpes;26;39924
11;Île-de-France;93;39776
32;Hauts-de-France;59;39697
11;Île-de-France;93;39391
76;Occitanie;31;39200
84;Auvergne-Rhône-Alpes;38;38974
11;Île-de-France;77;38587
04;La Réunion;974;38466
04;La Réunion;974;38167
24;Centre-Val de Loire;37;37974
84;Auvergne-Rhône-Alpes;69;37783
11;Île-de-France;78;37524
84;Auvergne-Rhône-Alpes;03;37417
11;Île-de-France;92;37132
11;Île-de-France;93;36809
27;Bourgogne-Franche-Comté;89;36804
11;Île-de-France;91;36677
84;Auvergne-Rhône-Alpes;69;36524
11;Île-de-France;95;36349
84;Auvergne-Rhône-Alpes;74;36296
11;Île-de-France;91;36219
84;Auvergne-Rhône-Alpes;38;36143
32;Hauts-de-France;60;36091
11;Île-de-France;78;36058
11;Île-de-France;93;36047
84;Auvergne-Rhône-Alpes;42;35969
84;Auvergne-Rhône-Alpes;42;35913
11;Île-de-France;93;35866
93;Provence-Alpes-Côte d'Azur;83;35826
93;Provence-Alpes-Côte d'Azur;13;35758
84;Auvergne-Rhône-Alpes;74;35461
04;La Réunion;974;35141
44;Grand Est;67;35024
11;Île-de-France;91;34954
11;Île-de-France;93;34859
27;Bourgogne-Franche-Comté;58;34799
75;Nouvelle-Aquitaine;47;34565
27;Bourgogne-Franche-Comté;71;34448
93;Provence-Alpes-Côte d'Azur;13;34301
04;La Réunion;974;34160
84;Auvergne-Rhône-Alpes;26;34095
11;Île-de-France;91;34065
11;Île-de-France;94;34017
93;Provence-Alpes-Côte d'Azur;13;33949
93;Provence-Alpes-Côte d'Azur;83;33904
04;La Réunion;974;33587
11;Île-de-France;78;33535
44;Grand Est;88;33454
11;Île-de-France;92;33413
84;Auvergne-Rhône-Alpes;69;33351
32;Hauts-de-France;59;33349
04;La Réunion;974;33337
11;Île-de-France;94;33135
75;Nouvelle-Aquitaine;33;33091
11;Île-de-France;78;32931
75;Nouvelle-Aquitaine;86;32887
11;Île-de-France;78;32777
03;Guyane;973;32768
11;Île-de-France;94;32195
11;Île-de-France;78;32128
11;Île-de-France;78;32064
44;Grand Est;67;32024
11;Île-de-France;95;31880
11;Île-de-France;78;31653
75;Nouvelle-Aquitaine;33;31576
